Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
CRYAB,P02511,Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2,0.8458226681245335,1.3422245577494711e-07,4.972473768592808e-06,1.5502356385360445
CALR,P27797,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,0.7991970885663697,0.0003089825588335536,0.0033257379474449385,0.9909436989867887
GRN,P28799,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,-0.6743378958494368,4.3202557949953774e-05,0.0006747223021007486,-1.1423641827205722
EIF3B,P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,0.5827490105950588,0.0011833428184332645,0.009617679131449952,0.8808104221783747
EIF4E,P06730,Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=2,-0.5515713069219395,0.0019978216450540526,0.014271434442022897,-0.8358319471784668
CRABP2,P29373,Cellular retinoic acid-binding protein 2 OS=Homo sapiens OX=9606 GN=CRABP2 PE=1 SV=2,1.7202716845280008,3.043065301361921e-07,9.505103970724589e-06,1.4943821760301361
ALDH1A3,P47895,Retinaldehyde dehydrogenase 3 OS=Homo sapiens OX=9606 GN=ALDH1A3 PE=1 SV=2,1.5480356425372008,0.00035139190288882284,0.0037070682205423496,0.9806734703801666
EVPL,Q92817,Envoplakin OS=Homo sapiens OX=9606 GN=EVPL PE=1 SV=3,-1.0848681282833184,0.004984309220659984,0.028664276492820776,-0.7538169821498178
DNAJC8,O75937,DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,-2.499650961160583,0.0007067625284862434,0.006470532803899917,-0.9238878716896931
DAAM1,Q9Y4D1,Disheveled-associated activator of morphogenesis 1 OS=Homo sapiens OX=9606 GN=DAAM1 PE=1 SV=2,1.246346892477213,2.9364750522268566e-08,1.299390210610384e-06,1.6530053609782573
PDCD4,Q53EL6,Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,0.727808161356581,0.0007819948454598616,0.007077941981917951,0.9155189136030616
PPL,O60437,Periplakin OS=Homo sapiens OX=9606 GN=PPL PE=1 SV=4,0.8906727019012983,6.217005591341948e-08,2.6766729478399254e-06,1.6024110731824495
RSF1,Q96T23,Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2,1.0483731374281895,0.0005175377721540599,0.0050891214261815886,0.9494248163121519
RARS1,P54136,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",-2.6534192083051096,2.60974868764593e-08,1.1878084741199904e-06,-1.6609422755440162
LIPC,E7EUK6,Hepatic triacylglycerol lipase OS=Homo sapiens OX=9606 GN=LIPC PE=1 SV=1,0.6065101155557251,0.010308005803296447,0.04771665638187559,0.6846890378290331
NUCKS1,Q9H1E3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,-5.0965060542930765,1.4563328524076044e-36,2.3199382338853136e-33,-7.599406643447671
RGS6,P49758,Regulator of G-protein signaling 6 OS=Homo sapiens OX=9606 GN=RGS6 PE=1 SV=5,2.928653213579377,0.0005818137534773543,0.005549876103529494,0.9398731888994473
NEBL,O76041,Nebulette OS=Homo sapiens OX=9606 GN=NEBL PE=1 SV=1,1.0483731374281895,0.0005175377721540599,0.0050891214261815886,0.9494248163121519
AMPD3,Q01432,AMP deaminase 3 OS=Homo sapiens OX=9606 GN=AMPD3 PE=1 SV=1,1.1642245442108106,0.0020264345976365736,0.014411206759085098,0.8345920142640978
